year month day hour minute second windspeed_ms
2015 4 25 3 15 5 6.040000
2015 4 25 4 15 5 7.063333
2015 4 25 5 15 5 7.070000
2015 4 25 6 15 5 5.035000
2015 4 25 7 15 5 4.336667
2015 4 25 8 15 5 2.803333
2015 4 25 9 15 5 2.160000
2015 4 25 10 15 5 3.931667
2015 4 25 11 15 5 6.716667
2015 4 25 12 15 5 6.415000
2015 4 25 13 15 5 6.143333
2015 4 25 14 15 5 5.436667
2015 4 25 15 15 5 5.355000
2015 4 25 16 15 5 5.021667
2015 4 25 17 15 5 4.540000
2015 4 25 18 15 5 5.383333
2015 4 25 19 15 5 4.890000
2015 4 25 20 15 5 5.448333
2015 4 25 21 15 5 5.165000
2015 4 25 22 15 5 5.486667
2015 4 25 23 15 5 5.703333
2015 4 26 0 15 5 7.515000
2015 4 26 1 15 5 8.210000
2015 4 26 2 15 5 9.091667
2015 4 26 3 15 5 10.788333
2015 4 26 4 15 5 10.725000
2015 4 26 5 15 5 11.333333
2015 4 26 6 15 5 12.203333
2015 4 26 7 15 5 11.545000
2015 4 26 8 15 5 11.683333
2015 4 26 9 15 5 10.741667
2015 4 26 10 15 5 10.095000
2015 4 26 11 15 5 8.141667
2015 4 26 12 15 5 7.856667
2015 4 26 13 15 5 8.398333
2015 4 26 14 15 5 10.456667
2015 4 26 15 15 5 10.003333
2015 4 26 16 15 5 9.870000
2015 4 26 17 15 5 8.628333
2015 4 26 18 15 5 8.598333
2015 4 26 19 15 5 7.321667
2015 4 26 20 15 5 6.758333
2015 4 26 21 15 5 5.621667
2015 4 26 22 15 5 5.893333
2015 4 26 23 15 5 6.365000
2015 4 27 0 15 5 6.343333
2015 4 27 1 15 5 5.565000
2015 4 27 2 15 5 3.995000
2015 4 27 3 15 5 3.531667
2015 4 27 4 15 5 3.546667
2015 4 27 5 15 5 2.335000
2015 4 27 6 15 5 1.703333
2015 4 27 7 15 5 2.481667
2015 4 27 8 15 5 4.021667
2015 4 27 9 15 5 6.636667
2015 4 27 10 15 5 7.406667
2015 4 27 11 15 5 7.473333
