,index,capacity_MW,depth_m,duration_hr,k_type,permeability_mD,porosity,thickness_m,RTE,kWh_in,kWh_out,kW_in_avg,kW_out_avg,kg_water_per_kWh,kg_CO2_per_kWh,kg_fuel_per_kWh,dp_well_avg,dp_pipe_f_avg,T_aquifer,T_cmp_out,errors,MWh_cushion_gas,T_store_init,T_cmp_out_avg,T_exp_out_avg,p_store_min,p_store_max,solve_time,iterations,m_dot,r_f
123,123,240.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.7623757291364092,15110652.178836817,11519994.472567389,303787.1513815443,239999.9492609094,88.51926115213135,0.0,0.0,0.36729113405549024,1.956055608398611,,,false,69452.46926982273,316.02152033,357.73527154886057,316.02152032999993,14.0235,17.34005775,110.87721300125122,36,644.0190593327374,276.1257930984776
124,124,250.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.7580322008065261,15830452.350417582,11999992.634949883,318258.16240402753,249999.93292410954,88.83133528267525,0.0,0.0,0.3854605651595945,2.1262429666661,,,false,73221.12268781931,316.02152033,357.88496627383154,316.02152032999993,14.0235,17.34005775,109.54977321624756,36,673.2182565889768,283.20755755034776
125,125,260.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.7534575296924148,16563633.667406406,12479994.505774142,332998.13568748516,259999.95099199182,89.16948055083289,0.0,0.0,0.40396300285130216,2.3051283046405318,,,false,77109.22269819923,316.02152033,358.038441300446,316.02152032999993,14.0235,17.34005775,114.87664675712585,37,702.8121936879837,290.3022321204341
126,126,270.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.7486315345437362,17311577.083504923,12959992.517396467,348034.9456141503,269999.9330673235,89.5368477121806,0.0,0.0,0.4228311000199683,2.4931992115591814,,,false,81127.93118996677,316.02152033,358.1957356314687,316.02152032999993,14.0235,17.34005775,112.0950927734375,37,732.8502742378654,297.42665005374715
127,127,280.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.7435292173060686,18075946.259342242,13439994.174275296,363401.926485046,279999.9481522733,89.93726925708165,0.0,0.0,0.44210445233874623,2.691053720958385,,,false,85290.54613859911,316.02152033,358.35694762367484,316.02152032999993,14.0235,17.34005775,117.7389223575592,38,763.3916974003337,304.5993837876065
128,128,290.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.7381195073703403,18858723.59167355,13919991.767119493,379139.04939738614,289999.92576793546,90.37545897619829,0.0,0.0,0.4618309892018581,2.89942591220842,,,false,89612.88013708172,316.02152033,358.5222448274659,316.02152032999993,14.0235,17.34005775,116.12273168563843,38,794.5078678576652,311.8412332325766
129,129,300.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.7323631372619811,19662367.507249873,14399993.153607557,395295.61925981776,299999.93768604944,90.85732388211132,0.0,0.0,0.4820703381351179,3.1192351500362707,,,false,94114.33206442995,316.02152033,358.6918887414267,316.02152032999993,14.0235,17.34005775,119.50994658470154,39,826.2869516574198,319.17642068365507
130,130,310.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.7262099047490348,20489929.477164607,14879989.733926151,411933.1144070833,309999.90443164913,91.39039401304868,0.0,0.0,0.5028972718408826,3.351643510391958,,,false,98818.87205927774,316.02152033,358.8662594880731,316.02152032999993,14.0235,17.34005775,119.58316397666931,39,858.8393225531084,326.6337354645666
131,131,320.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.7195940849974651,21345354.107829444,15359990.558170414,429130.6998187138,319999.91013509757,91.9845150420779,0.0,0.0,0.5244085623888236,3.5981588295095457,,,false,103757.16424673331,316.02152033,359.0459061084325,316.02152032999993,14.0235,17.34005775,123.72916531562805,40,892.3071735796484,334.24885265028286
132,132,330.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.712427626891541,22233824.194539834,15839990.607639743,446992.64769594016,329999.9080165651,92.65291352821467,0.0,0.0,0.5467320955929023,3.8607794725636175,,,false,108969.23695666918,316.02152033,359.2316127343604,316.02152032999993,14.0235,17.34005775,126.5877788066864,41,926.8782772888678,342.06732657023815
